state,answer_set,facility_name,independent_preference_for_dem_rep,count,n_respondents,pct_of_respondents
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Neither,171,362,0.4723756906077348
IL,all-surveys,"Cook County, IL",Neither,111,203,0.5467980295566502
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",The Democratic Party,90,362,0.24861878453038674
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",The Republican Party,83,362,0.2292817679558011
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Neither,66,127,0.5196850393700787
CA,all-surveys,"Santa Clara County, CA",Neither,51,91,0.5604395604395604
OH,all-surveys,"Cuyahoga County Justice Center, OH",Neither,50,94,0.5319148936170213
AZ,all-surveys,"Pima County Jail, AZ",Neither,48,93,0.5161290322580645
IL,all-surveys,"Winnebago County, IL",Neither,45,77,0.5844155844155844
CA,all-surveys,"Fresno County, CA",Neither,44,81,0.5432098765432098
IL,all-surveys,"Cook County, IL",The Republican Party,43,203,0.21182266009852216
CA,all-surveys,"Stanislaus County, CA",Neither,37,70,0.5285714285714286
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",Neither,36,69,0.5217391304347826
IL,all-surveys,"Cook County, IL",The Democratic Party,35,203,0.1724137931034483
TX,all-surveys,"Travis County Jail, TX",Neither,35,80,0.4375
CA,all-surveys,"Sacramento County Sheriff's Office, CA",The Republican Party,33,127,0.25984251968503935
TX,all-surveys,"MTC: Giles Dalby, TX",Neither,31,57,0.543859649122807
WV,all-surveys,WV DCR North Central Regional Jail,Neither,31,53,0.5849056603773585
CO,all-surveys,"Denver County Jail, CO",Neither,28,57,0.49122807017543857
TX,all-surveys,"Travis County Jail, TX",The Republican Party,28,80,0.35
CO,all-surveys,"Weld County, CO",Neither,26,61,0.4262295081967213
NY,all-surveys,"Pasco County Corrections, FL",Neither,26,57,0.45614035087719296
AZ,all-surveys,"Pima County Jail, AZ",The Democratic Party,25,93,0.26881720430107525
CA,all-surveys,"Sacramento County Sheriff's Office, CA",The Democratic Party,25,127,0.1968503937007874
CA,all-surveys,"Santa Clara County, CA",The Republican Party,25,91,0.27472527472527475
PA,all-surveys,"Dauphin County Jail, PA",Neither,25,39,0.6410256410256411
NY,all-surveys,"Monroe County Sheriff's Department, NY",Neither,24,38,0.631578947368421
PA,all-surveys,"Lackawana County, PA",Neither,24,47,0.5106382978723404
TN,all-surveys,"Davidson County Detention Center, TN",Neither,24,50,0.48
MI,all-surveys,"Kent County, MI ",Neither,23,44,0.5227272727272727
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Neither,23,44,0.5227272727272727
WA,all-surveys,"Spokane County Jail, WA",Neither,23,39,0.5897435897435898
CA,all-surveys,"Ventura County Sheriff's Office, CA",Neither,22,37,0.5945945945945946
CO,all-surveys,"Mesa County, CO",Neither,22,42,0.5238095238095238
IL,all-surveys,"Kane County, IL",Neither,22,35,0.6285714285714286
IN,all-surveys,"Hamilton County Main Jail, IN",Neither,22,42,0.5238095238095238
WA,all-surveys,"Yakima County, WA",Neither,22,49,0.4489795918367347
NY,all-surveys,"Albany County Correctional Facility, NY",Neither,21,44,0.4772727272727273
OH,all-surveys,"Cuyahoga County Justice Center, OH",The Republican Party,21,94,0.22340425531914893
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",The Republican Party,20,69,0.2898550724637681
NY,all-surveys,"Pasco County Corrections, FL",The Republican Party,20,57,0.3508771929824561
OH,all-surveys,"Mahoning County Justice Center, OH",Neither,20,36,0.5555555555555556
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Neither,20,41,0.4878048780487805
CA,all-surveys,"Orange County, CA - Central Jail Complex",Neither,19,40,0.475
CO,all-surveys,"Pueblo County, CO",Neither,19,39,0.48717948717948717
DC,all-surveys,DC DOC: Central Detention Facility,Neither,19,33,0.5757575757575758
FL,all-surveys,"Leon County Jail, FL",Neither,19,36,0.5277777777777778
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Neither,19,41,0.4634146341463415
IA,all-surveys,"Polk County, IA ",Neither,19,29,0.6551724137931034
IL,all-surveys,"Winnebago County, IL",The Republican Party,19,77,0.24675324675324675
MO,all-surveys,"St. Louis County Jail, MO",Neither,19,35,0.5428571428571428
PA,all-surveys,"Lehigh County, PA",Neither,19,31,0.6129032258064516
PA,all-surveys,"Westmoreland County, PA",Neither,19,45,0.4222222222222222
TN,all-surveys,"Davidson County Detention Center, TN",The Republican Party,19,50,0.38
TX,all-surveys,"Guadalupe County, TX",Neither,19,30,0.6333333333333333
CA,all-surveys,"Fresno County, CA",The Republican Party,18,81,0.2222222222222222
CA,all-surveys,"Orange County, CA - Theo Lacy",Neither,18,53,0.33962264150943394
CO,all-surveys,"Weld County, CO",The Republican Party,18,61,0.29508196721311475
OH,all-surveys,"Cuyahoga County Justice Center, OH",The Democratic Party,18,94,0.19148936170212766
UT,all-surveys,"Salt Lake City County, UT",Neither,18,28,0.6428571428571429
AZ,all-surveys,"Pima County Jail, AZ",The Republican Party,17,93,0.1827956989247312
CA,all-surveys,"Stanislaus County, CA",The Republican Party,17,70,0.24285714285714285
NC,all-surveys,"Cumberland County, NC",Neither,17,32,0.53125
TX,all-surveys,"McLennan County, TX",Neither,17,36,0.4722222222222222
WA,all-surveys,"Yakima County, WA",The Republican Party,17,49,0.3469387755102041
CA,all-surveys,"Orange County, CA - Theo Lacy",The Republican Party,16,53,0.3018867924528302
MA,all-surveys,"Suffolk County Jail, MA",Neither,16,28,0.5714285714285714
PA,all-surveys,"Westmoreland County, PA",The Republican Party,16,45,0.35555555555555557
CA,all-surveys,"Fresno County, CA",The Democratic Party,15,81,0.18518518518518517
CA,all-surveys,"Madera County, CA",Neither,15,27,0.5555555555555556
CA,all-surveys,"Orange County, CA - Theo Lacy",The Democratic Party,15,53,0.2830188679245283
CA,all-surveys,"Santa Barbara County, CA",Neither,15,28,0.5357142857142857
CA,all-surveys,"Santa Clara County, CA",The Democratic Party,15,91,0.16483516483516483
IN,all-surveys,"Elkhart County Jail, IN",Neither,15,28,0.5357142857142857
MA,all-surveys,"Essex County Middleton HOC, MA",Neither,15,30,0.5
NE,all-surveys,"Lancaster County, NE",Neither,15,30,0.5
TN,all-surveys,"Sullivan County Jail, TN",Neither,15,30,0.5
VA,all-surveys,"Pamunkey Regional Jail, VA",Neither,15,27,0.5555555555555556
AZ,all-surveys,"Pinal County Jail, AZ",Neither,14,24,0.5833333333333334
CA,all-surveys,"Stanislaus County, CA",The Democratic Party,14,70,0.2
