state,answer_set,facility_name,likely_to_vote_in_november_election,count,n_respondents,pct_of_respondents
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Definitely will not vote,190,501,0.37924151696606784
IL,all-surveys,"Cook County, IL",Definitely will vote,173,418,0.4138755980861244
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Probably will not vote,132,501,0.2634730538922156
CA,all-surveys,"Santa Clara County, CA",Definitely will vote,129,344,0.375
IL,all-surveys,"Cook County, IL",Probably will vote,113,418,0.2703349282296651
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Definitely will vote,99,501,0.19760479041916168
CA,all-surveys,"Santa Clara County, CA",Probably will vote,88,344,0.2558139534883721
CA,all-surveys,"Santa Clara County, CA",Probably will not vote,77,344,0.2238372093023256
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Probably will vote,74,501,0.14770459081836326
AZ,all-surveys,"Pima County Jail, AZ",Definitely will not vote,67,145,0.46206896551724136
IL,all-surveys,"Cook County, IL",Probably will not vote,65,418,0.15550239234449761
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Probably will not vote,64,226,0.2831858407079646
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Definitely will vote,62,226,0.2743362831858407
IL,all-surveys,"Cook County, IL",Definitely will not vote,58,418,0.13875598086124402
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Probably will vote,54,226,0.23893805309734514
CA,all-surveys,"Fresno County, CA",Probably will not vote,51,165,0.3090909090909091
CA,all-surveys,"Santa Clara County, CA",Definitely will not vote,49,344,0.14244186046511628
OH,all-surveys,"Cuyahoga County Justice Center, OH",Probably will not vote,46,151,0.304635761589404
CA,all-surveys,"Fresno County, CA",Definitely will vote,45,165,0.2727272727272727
TX,all-surveys,"Travis County Jail, TX",Definitely will vote,43,163,0.26380368098159507
TX,all-surveys,"Travis County Jail, TX",Probably will not vote,43,163,0.26380368098159507
OH,all-surveys,"Cuyahoga County Justice Center, OH",Definitely will vote,42,151,0.2781456953642384
OH,all-surveys,"Cuyahoga County Justice Center, OH",Probably will vote,42,151,0.2781456953642384
TX,all-surveys,"Travis County Jail, TX",Definitely will not vote,42,163,0.25766871165644173
AZ,all-surveys,"Pima County Jail, AZ",Probably will not vote,40,145,0.27586206896551724
CA,all-surveys,"Fresno County, CA",Definitely will not vote,39,165,0.23636363636363636
CA,all-surveys,"Stanislaus County, CA",Definitely will vote,39,140,0.2785714285714286
CO,all-surveys,"Denver County Jail, CO",Definitely will vote,39,102,0.38235294117647056
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Definitely will not vote,38,226,0.168141592920354
IL,all-surveys,"Winnebago County, IL",Probably will not vote,38,108,0.35185185185185186
CA,all-surveys,"Stanislaus County, CA",Probably will not vote,37,140,0.2642857142857143
CA,all-surveys,"Stanislaus County, CA",Probably will vote,37,140,0.2642857142857143
CA,all-surveys,"Orange County, CA - Theo Lacy",Probably will not vote,36,93,0.3870967741935484
MI,all-surveys,"Kent County, MI ",Definitely will vote,33,72,0.4583333333333333
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Definitely will not vote,33,81,0.4074074074074074
TX,all-surveys,"Travis County Jail, TX",Probably will vote,32,163,0.19631901840490798
WA,all-surveys,"Yakima County, WA",Probably will not vote,32,86,0.37209302325581395
CO,all-surveys,"Denver County Jail, CO",Probably will vote,30,102,0.29411764705882354
CA,all-surveys,"San Joaquin County Jail, CA",Probably will not vote,29,74,0.3918918918918919
CO,all-surveys,"Mesa County, CO",Definitely will vote,29,60,0.48333333333333334
CO,all-surveys,"Weld County, CO",Probably will vote,29,89,0.3258426966292135
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Probably will not vote,29,77,0.37662337662337664
IL,all-surveys,"Winnebago County, IL",Definitely will vote,28,108,0.25925925925925924
PA,all-surveys,"Dauphin County Jail, PA",Definitely will vote,27,84,0.32142857142857145
PA,all-surveys,"Dauphin County Jail, PA",Probably will not vote,27,84,0.32142857142857145
CA,all-surveys,"Fresno County, CA",Probably will vote,26,165,0.15757575757575756
CO,all-surveys,"Weld County, CO",Definitely will vote,26,89,0.29213483146067415
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Definitely will not vote,26,77,0.33766233766233766
CA,all-surveys,"Orange County, CA - Central Jail Complex",Definitely will vote,25,69,0.36231884057971014
CA,all-surveys,"Orange County, CA - Theo Lacy",Probably will vote,25,93,0.26881720430107525
PA,all-surveys,"Lackawana County, PA",Probably will not vote,25,82,0.3048780487804878
TX,all-surveys,"Guadalupe County, TX",Probably will not vote,25,50,0.5
CA,all-surveys,"Orange County, CA - Central Jail Complex",Probably will not vote,24,69,0.34782608695652173
CO,all-surveys,"Pueblo County, CO",Probably will not vote,24,63,0.38095238095238093
IL,all-surveys,"Winnebago County, IL",Probably will vote,24,108,0.2222222222222222
WA,all-surveys,"Spokane County Jail, WA",Probably will not vote,24,73,0.3287671232876712
CA,all-surveys,"Stanislaus County, CA",Definitely will not vote,23,140,0.16428571428571428
CA,all-surveys,"Ventura County Sheriff's Office, CA",Probably will not vote,23,71,0.323943661971831
IN,all-surveys,"Hamilton County Main Jail, IN",Probably will not vote,23,61,0.3770491803278688
MA,all-surveys,"Essex County Middleton HOC, MA",Probably will not vote,23,60,0.38333333333333336
NC,all-surveys,"Cumberland County, NC",Probably will not vote,23,71,0.323943661971831
PA,all-surveys,"Lackawana County, PA",Definitely will vote,23,82,0.2804878048780488
VA,all-surveys,"Chesapeake Correctional Center, VA",Definitely will not vote,23,60,0.38333333333333336
PA,all-surveys,"Lehigh County, PA",Probably will vote,22,57,0.38596491228070173
AZ,all-surveys,"Pima County Jail, AZ",Definitely will vote,21,145,0.14482758620689656
CA,all-surveys,"Santa Barbara County, CA",Probably will not vote,21,51,0.4117647058823529
MO,all-surveys,"St. Louis County Jail, MO",Probably will vote,21,72,0.2916666666666667
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Probably will not vote,21,67,0.31343283582089554
NY,all-surveys,"Albany County Correctional Facility, NY",Definitely will not vote,21,72,0.2916666666666667
NY,all-surveys,"Albany County Correctional Facility, NY",Probably will not vote,21,72,0.2916666666666667
NY,all-surveys,"Monroe County Sheriff's Department, NY",Probably will vote,21,62,0.3387096774193548
OH,all-surveys,"Mahoning County Justice Center, OH",Probably will vote,21,74,0.28378378378378377
WA,all-surveys,"Spokane County Jail, WA",Definitely will vote,21,73,0.2876712328767123
CA,all-surveys,"San Joaquin County Jail, CA",Definitely will vote,20,74,0.2702702702702703
IL,all-surveys,"Kane County, IL",Probably will vote,20,40,0.5
MA,all-surveys,"Suffolk County Jail, MA",Definitely will vote,20,63,0.31746031746031744
WA,all-surveys,"Yakima County, WA",Definitely will vote,20,86,0.23255813953488372
CA,all-surveys,"Orange County, CA - Theo Lacy",Definitely will vote,19,93,0.20430107526881722
CA,all-surveys,"Ventura County Sheriff's Office, CA",Definitely will vote,19,71,0.2676056338028169
CO,all-surveys,"Jefferson County Detention Facility, CO",Definitely will vote,19,46,0.41304347826086957
OH,all-surveys,"Cuyahoga County Justice Center, OH",Definitely will not vote,19,151,0.12582781456953643
PA,all-surveys,"Montgomery County Correctional Facility, PA",Definitely will vote,19,56,0.3392857142857143
PA,all-surveys,"Washington County, PA ",Probably will not vote,19,43,0.4418604651162791
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Definitely will not vote,19,42,0.4523809523809524
CO,all-surveys,"Weld County, CO",Definitely will not vote,18,89,0.20224719101123595
MA,all-surveys,"Middlesex County House of Corrections, MA",Definitely will vote,18,53,0.33962264150943394
MA,all-surveys,"Suffolk County Jail, MA",Definitely will not vote,18,63,0.2857142857142857
MI,all-surveys,"Kent County, MI ",Probably will vote,18,72,0.25
MO,all-surveys,"St. Louis County Jail, MO",Definitely will not vote,18,72,0.25
NC,all-surveys,"Cumberland County, NC",Probably will vote,18,71,0.2535211267605634
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Probably will vote,18,67,0.26865671641791045
NY,all-surveys,"Monroe County Sheriff's Department, NY",Probably will not vote,18,62,0.2903225806451613
OH,all-surveys,"Mahoning County Justice Center, OH",Definitely will not vote,18,74,0.24324324324324326
TX,all-surveys,"Potter County Detention, TX",Definitely will not vote,18,52,0.34615384615384615
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Probably will not vote,18,81,0.2222222222222222
AZ,all-surveys,"Pinal County Jail, AZ",Definitely will not vote,17,36,0.4722222222222222
FL,all-surveys,"Sarasota County, FL",Definitely will not vote,17,46,0.3695652173913043
MA,all-surveys,"Worcester County Jail, MA",Definitely will not vote,17,51,0.3333333333333333
MO,all-surveys,"St. Louis County Jail, MO",Definitely will vote,17,72,0.2361111111111111
NC,all-surveys,"Cumberland County, NC",Definitely will not vote,17,71,0.23943661971830985
OH,all-surveys,"Mahoning County Justice Center, OH",Probably will not vote,17,74,0.22972972972972974
PA,all-surveys,"Lackawana County, PA",Definitely will not vote,17,82,0.2073170731707317
PA,all-surveys,"Lackawana County, PA",Probably will vote,17,82,0.2073170731707317
TX,all-surveys,"Collin County, TX ",Definitely will not vote,17,52,0.3269230769230769
TX,all-surveys,"McLennan County, TX",Probably will not vote,17,56,0.30357142857142855
TX,all-surveys,"Potter County Detention, TX",Probably will not vote,17,52,0.3269230769230769
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Definitely will vote,17,81,0.20987654320987653
WA,all-surveys,"Yakima County, WA",Definitely will not vote,17,86,0.19767441860465115
AZ,all-surveys,"Pima County Jail, AZ",Probably will vote,16,145,0.1103448275862069
CA,all-surveys,"Madera County, CA",Probably will not vote,16,44,0.36363636363636365
CO,all-surveys,"Denver County Jail, CO",Definitely will not vote,16,102,0.1568627450980392
CO,all-surveys,"Denver County Jail, CO",Probably will not vote,16,102,0.1568627450980392
MO,all-surveys,"Cape Girardeau County Jail, MO",Definitely will not vote,16,48,0.3333333333333333
