state,answer_set,facility_name,party,count,n_respondents,pct_of_respondents
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Independent,319,872,0.3658256880733945
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Republican,188,872,0.21559633027522937
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Democrat,159,872,0.1823394495412844
IL,all-surveys,"Cook County, IL",Independent,154,572,0.2692307692307692
IL,all-surveys,"Cook County, IL",Democrat,145,572,0.2534965034965035
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Other,135,872,0.15481651376146788
IL,all-surveys,"Cook County, IL",Republican,120,572,0.2097902097902098
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Independent,113,297,0.38047138047138046
CA,all-surveys,"Santa Clara County, CA",Democrat,97,350,0.27714285714285714
CA,all-surveys,"Santa Clara County, CA",Independent,90,350,0.2571428571428571
CA,all-surveys,"Santa Clara County, CA",Other,88,350,0.25142857142857145
OH,all-surveys,"Cuyahoga County Justice Center, OH",Independent,82,236,0.3474576271186441
AZ,all-surveys,"Pima County Jail, AZ",Independent,80,210,0.38095238095238093
IL,all-surveys,"Cook County, IL",Other,76,572,0.13286713286713286
TX,all-surveys,"Travis County Jail, TX",Independent,71,205,0.3463414634146341
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",Independent,66,182,0.3626373626373626
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Republican,65,297,0.21885521885521886
CA,all-surveys,"Santa Clara County, CA",Republican,65,350,0.18571428571428572
CA,all-surveys,"Fresno County, CA",Independent,63,224,0.28125
CA,all-surveys,"Stanislaus County, CA",Independent,57,171,0.3333333333333333
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Other,56,297,0.18855218855218855
IL,all-surveys,"Winnebago County, IL",Independent,56,156,0.358974358974359
NY,all-surveys,"Pasco County Corrections, FL",Independent,56,147,0.38095238095238093
CO,all-surveys,"Weld County, CO",Independent,54,130,0.4153846153846154
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",Republican,54,182,0.2967032967032967
