state,answer_set,facility_name,race,count,n_respondents,pct_of_respondents
IL,all-surveys,"Cook County, IL",Black or African American,286,566,0.5053003533568905
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Hispanic or Latino,245,873,0.2806414662084765
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",White,223,873,0.2554410080183276
CA,all-surveys,"Santa Clara County, CA",Hispanic or Latino,141,352,0.4005681818181818
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Black or African American,139,873,0.15922107674684993
OH,all-surveys,"Cuyahoga County Justice Center, OH",Black or African American,115,235,0.48936170212765956
IL,all-surveys,"Cook County, IL",Hispanic or Latino,86,566,0.1519434628975265
NY,all-surveys,"Pasco County Corrections, FL",White,77,146,0.5273972602739726
WV,all-surveys,WV DCR North Central Regional Jail,White,77,115,0.6695652173913044
AZ,all-surveys,"Pima County Jail, AZ",Hispanic or Latino,76,209,0.36363636363636365
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Black or African American,74,302,0.24503311258278146
CA,all-surveys,"Sacramento County Sheriff's Office, CA",White,73,302,0.24172185430463577
IL,all-surveys,"Winnebago County, IL",Black or African American,73,153,0.477124183006536
CA,all-surveys,"Orange County, CA - Theo Lacy",Hispanic or Latino,72,134,0.5373134328358209
CA,all-surveys,"Fresno County, CA",Hispanic or Latino,70,224,0.3125
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",White,69,182,0.3791208791208791
TN,all-surveys,"Sullivan County Jail, TN",White,67,88,0.7613636363636364
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Other,64,873,0.07331042382588775
TX,all-surveys,"MTC: Giles Dalby, TX",Black or African American,60,132,0.45454545454545453
TN,all-surveys,"Davidson County Detention Center, TN",Black or African American,58,119,0.48739495798319327
DC,all-surveys,DC DOC: Central Detention Facility,Black or African American,56,81,0.691358024691358
TX,all-surveys,"Travis County Jail, TX",White,54,204,0.2647058823529412
PA,all-surveys,"Lackawana County, PA",White,53,115,0.4608695652173913
CA,all-surveys,"Stanislaus County, CA",Hispanic or Latino,51,171,0.2982456140350877
AZ,all-surveys,"Pima County Jail, AZ",White,50,209,0.23923444976076555
FL,all-surveys,"Leon County Jail, FL",Black or African American,50,95,0.5263157894736842
TX,all-surveys,"Travis County Jail, TX",Hispanic or Latino,50,204,0.24509803921568626
PA,all-surveys,"Westmoreland County, PA",White,49,89,0.550561797752809
WV,all-surveys,WV DCR Tygart Valley Regional Jail,White,49,59,0.8305084745762712
CO,all-surveys,"Weld County, CO",Hispanic or Latino,48,133,0.3609022556390977
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Black or African American,48,91,0.5274725274725275
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Black or African American,47,109,0.43119266055045874
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Native American / American Indian,46,873,0.052691867124856816
CA,all-surveys,"Stanislaus County, CA",White,46,171,0.26900584795321636
FL,all-surveys,"Pinellas County Jail, FL",White,45,89,0.5056179775280899
CA,all-surveys,"Orange County, CA - Central Jail Complex",Hispanic or Latino,44,104,0.4230769230769231
CA,all-surveys,"Santa Clara County, CA",White,44,352,0.125
CA,all-surveys,"Ventura County Sheriff's Office, CA",Hispanic or Latino,44,99,0.4444444444444444
CO,all-surveys,"Mesa County, CO",White,44,94,0.46808510638297873
IL,all-surveys,"Cook County, IL",White,44,566,0.07773851590106007
IN,all-surveys,"Hamilton County Main Jail, IN",White,44,97,0.4536082474226804
VA,all-surveys,"Virginia Beach Correctional Facility, VA",White,44,109,0.4036697247706422
IL,all-surveys,"Cook County, IL",Other,43,566,0.07597173144876325
OH,all-surveys,"Cuyahoga County Justice Center, OH",White,43,235,0.1829787234042553
TX,all-surveys,"Travis County Jail, TX",Black or African American,43,204,0.2107843137254902
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",Black or African American,41,182,0.22527472527472528
CO,all-surveys,"Denver County Jail, CO",White,40,148,0.2702702702702703
MO,all-surveys,"St. Louis County Jail, MO",Black or African American,40,92,0.43478260869565216
FL,all-surveys,Santa Rosa County FL,White,39,60,0.65
WA,all-surveys,"Spokane County Jail, WA",White,38,82,0.4634146341463415
CO,all-surveys,"Weld County, CO",White,37,133,0.2781954887218045
OH,all-surveys,"Mahoning County Justice Center, OH",Black or African American,37,82,0.45121951219512196
PA,all-surveys,"Dauphin County Jail, PA",Black or African American,37,118,0.3135593220338983
SC,all-surveys,"Richland County Glenn Detention Center, SC",Black or African American,37,58,0.6379310344827587
FL,all-surveys,"Okaloosa County Department of Corrections, FL",White,36,61,0.5901639344262295
TN,all-surveys,"Davidson County Detention Center, TN",White,36,119,0.3025210084033613
VA,all-surveys,"Rappahannock Regional Jail, VA",White,36,76,0.47368421052631576
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Black or African American,36,109,0.3302752293577982
WV,all-surveys,WV DCR Southwestern Regional Jail,White,36,47,0.7659574468085106
CO,all-surveys,"Jefferson County Detention Facility, CO",White,35,76,0.4605263157894737
GA,all-surveys,"Athens Clarke County Jail, GA",Black or African American,35,67,0.5223880597014925
PA,all-surveys,"Montgomery County Correctional Facility, PA",White,35,92,0.3804347826086957
PA,all-surveys,"Washington County, PA ",White,35,62,0.5645161290322581
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Hispanic or Latino,33,302,0.10927152317880795
AL,all-surveys,"Etowah County Jail, AL",White,32,52,0.6153846153846154
CA,all-surveys,"Santa Clara County, CA",Black or African American,32,352,0.09090909090909091
NJ,all-surveys,"Essex County Correctional Facility, NJ",Black or African American,32,68,0.47058823529411764
VA,all-surveys,"Western Regional, VA",White,32,52,0.6153846153846154
WA,all-surveys,"Yakima County, WA",White,32,110,0.2909090909090909
CA,all-surveys,"Fresno County, CA",White,31,224,0.13839285714285715
MI,all-surveys,"Kent County, MI ",White,31,100,0.31
VA,all-surveys,"Chesapeake Correctional Center, VA",White,31,72,0.4305555555555556
IN,all-surveys,"Elkhart County Jail, IN",White,30,59,0.5084745762711864
MO,all-surveys,"Cape Girardeau County Jail, MO",White,30,69,0.43478260869565216
PA,all-surveys,"Lebanon County, PA",White,30,66,0.45454545454545453
UT,all-surveys,"Salt Lake City County, UT",White,30,68,0.4411764705882353
NY,all-surveys,"Monroe County Sheriff's Department, NY",Black or African American,29,84,0.34523809523809523
OH,all-surveys,"Mahoning County Justice Center, OH",White,29,82,0.35365853658536583
PA,all-surveys,"Montgomery County Correctional Facility, PA",Black or African American,29,92,0.31521739130434784
WV,all-surveys,WV DCR Central Regional Jail,White,29,39,0.7435897435897436
CA,all-surveys,"San Joaquin County Jail, CA",Hispanic or Latino,28,96,0.2916666666666667
CA,all-surveys,"Santa Barbara County, CA",Hispanic or Latino,28,74,0.3783783783783784
MA,all-surveys,"Bristol County House of Correction, MA",White,28,58,0.4827586206896552
MI,all-surveys,"Kent County, MI ",Black or African American,28,100,0.28
NC,all-surveys,"Cumberland County, NC",Black or African American,28,82,0.34146341463414637
NE,all-surveys,"Lancaster County, NE",White,28,76,0.3684210526315789
TX,all-surveys,"Guadalupe County, TX",Hispanic or Latino,28,75,0.37333333333333335
WV,all-surveys,WV DCR Western Regional Jail,White,28,41,0.6829268292682927
CA,all-surveys,"Madera County, CA",Hispanic or Latino,27,90,0.3
CA,all-surveys,"Orange County, CA - Central Jail Complex",White,27,104,0.25961538461538464
CO,all-surveys,"Denver County Jail, CO",Black or African American,27,148,0.18243243243243243
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",Hispanic or Latino,27,182,0.14835164835164835
FL,all-surveys,"Leon County Jail, FL",White,27,95,0.28421052631578947
FL,all-surveys,"Sarasota County, FL",White,27,64,0.421875
IL,all-surveys,"Winnebago County, IL",White,27,153,0.17647058823529413
MA,all-surveys,"Essex County Middleton HOC, MA",White,27,70,0.38571428571428573
PA,all-surveys,"Cambria County Prison, PA",White,27,42,0.6428571428571429
WV,all-surveys,WV DCR South Central Regional Jail,White,27,35,0.7714285714285715
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ","Hispanic or Latino, White",26,873,0.029782359679266894
GA,all-surveys,"Bibb County Jail, GA",Black or African American,26,50,0.52
IN,all-surveys,"Hamilton County Main Jail, IN",Black or African American,26,97,0.26804123711340205
MA,all-surveys,"Middlesex County House of Corrections, MA",White,26,68,0.38235294117647056
MO,all-surveys,"St. Louis County Jail, MO",White,26,92,0.2826086956521739
NY,all-surveys,"Albany County Correctional Facility, NY",Black or African American,26,87,0.2988505747126437
OR,all-surveys,"Lincoln County, OR",White,26,40,0.65
TX,all-surveys,"Potter County Detention, TX",White,26,78,0.3333333333333333
CO,all-surveys,"Denver County Jail, CO",Hispanic or Latino,25,148,0.16891891891891891
CO,all-surveys,"Pueblo County, CO",Hispanic or Latino,25,93,0.26881720430107525
FL,all-surveys,"Escambia County Jail, FL",White,25,53,0.4716981132075472
MI,all-surveys,"Livingston County, MI",White,25,32,0.78125
PA,all-surveys,"Fayette County, PA",White,25,36,0.6944444444444444
PA,all-surveys,"Lancaster County Prison, PA",White,25,59,0.423728813559322
TN,all-surveys,"Warren County Jail, TN",White,25,26,0.9615384615384616
TX,all-surveys,"Guadalupe County, TX",White,25,75,0.3333333333333333
VA,all-surveys,"Rappahannock Regional Jail, VA",Black or African American,25,76,0.32894736842105265
WA,all-surveys,"Yakima County, WA",Hispanic or Latino,25,110,0.22727272727272727
CO,all-surveys,"Larimer County, CO",White,24,45,0.5333333333333333
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",White,24,109,0.22018348623853212
NM,all-surveys,"Santa Fe County Adult Correctional Facility, NM",Hispanic or Latino,24,37,0.6486486486486487
NY,all-surveys,"New York City Department of Correction, NY (NYC DOC)",Black or African American,24,70,0.34285714285714286
PA,all-surveys,"Dauphin County Jail, PA",White,24,118,0.2033898305084746
TX,all-surveys,"MTC: Giles Dalby, TX",Hispanic or Latino,24,132,0.18181818181818182
TX,all-surveys,"Wichita County, TX ",White,24,34,0.7058823529411765
CA,all-surveys,"Fresno County, CA",Black or African American,23,224,0.10267857142857142
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Other,23,302,0.076158940397351
CA,all-surveys,"Ventura County Sheriff's Office, CA",White,23,99,0.23232323232323232
MA,all-surveys,"Worcester County Jail, MA",White,23,58,0.39655172413793105
NY,all-surveys,"Albany County Correctional Facility, NY",White,23,87,0.26436781609195403
PA,all-surveys,"Lehigh County, PA",White,23,76,0.3026315789473684
TX,all-surveys,"Collin County, TX ",White,23,69,0.3333333333333333
VA,all-surveys,"Roanoke City Adult Detention Center, VA",White,23,64,0.359375
CA,all-surveys,"Orange County, CA - Theo Lacy",White,22,134,0.16417910447761194
IL,all-surveys,"Kane County, IL",Black or African American,22,65,0.3384615384615385
IN,all-surveys,"Boone County, IN",White,22,31,0.7096774193548387
KY,all-surveys,"Madison County, KY",White,22,28,0.7857142857142857
