state,answer_set,age,count,n_respondents,pct_of_respondents
0_ALL_STATES,all-surveys,36 - 45,15723,47053,0.3341551016938346
0_ALL_STATES,all-surveys,26 - 35,13563,47053,0.28824942086583216
0_ALL_STATES,all-surveys,46 - 55,8624,47053,0.18328268123180244
0_ALL_STATES,all-surveys,18 - 25,4289,47053,0.09115253012560304
0_ALL_STATES,all-surveys,56 - 65,3427,47053,0.07283276305442798
CA,all-surveys,36 - 45,2557,8068,0.316931085770947
CA,all-surveys,26 - 35,2260,8068,0.28011898859692613
AZ,all-surveys,36 - 45,2112,6256,0.3375959079283887
AZ,all-surveys,26 - 35,1850,6256,0.29571611253196933
CA,all-surveys,46 - 55,1658,8068,0.2055032226078334
NC,all-surveys,36 - 45,1657,5092,0.32541241162608014
NC,all-surveys,26 - 35,1430,5092,0.28083267871170464
AZ,all-surveys,46 - 55,1145,6256,0.18302429667519182
NC,all-surveys,46 - 55,994,5092,0.19520816967792615
OH,all-surveys,36 - 45,888,2631,0.33751425313568983
CA,all-surveys,56 - 65,777,8068,0.09630639563708478
WA,all-surveys,36 - 45,768,2269,0.3384750991626267
OH,all-surveys,26 - 35,724,2631,0.2751805397187381
WA,all-surveys,26 - 35,706,2269,0.31115028646981047
0_ALL_STATES,all-surveys,66+,705,47053,0.014983104159139693
OK,all-surveys,36 - 45,686,1872,0.36645299145299143
KY,all-surveys,36 - 45,570,1546,0.36869340232858994
AZ,all-surveys,18 - 25,536,6256,0.08567774936061381
OH,all-surveys,46 - 55,527,2631,0.20030406689471683
CA,all-surveys,18 - 25,492,8068,0.060981655924640554
OK,all-surveys,26 - 35,465,1872,0.2483974358974359
KY,all-surveys,26 - 35,459,1546,0.29689521345407505
AZ,all-surveys,56 - 65,425,6256,0.06793478260869565
PA,all-surveys,36 - 45,425,1326,0.32051282051282054
NC,all-surveys,18 - 25,424,5092,0.08326787117046347
NC,all-surveys,56 - 65,414,5092,0.08130400628436764
SC,all-surveys,36 - 45,413,1277,0.32341425215348474
PA,all-surveys,26 - 35,402,1326,0.3031674208144796
WV,all-surveys,36 - 45,402,1169,0.3438836612489307
AR,all-surveys,36 - 45,391,1126,0.347246891651865
OK,all-surveys,46 - 55,387,1872,0.20673076923076922
WA,all-surveys,46 - 55,386,2269,0.17011899515204937
TX,all-surveys,36 - 45,361,1076,0.3355018587360595
SC,all-surveys,26 - 35,353,1277,0.2764291307752545
TX,all-surveys,26 - 35,350,1076,0.3252788104089219
WV,all-surveys,26 - 35,342,1169,0.2925577416595381
AL,all-surveys,36 - 45,333,916,0.3635371179039301
IL,all-surveys,26 - 35,328,1021,0.32125367286973555
FL,all-surveys,36 - 45,324,906,0.3576158940397351
NY,all-surveys,26 - 35,323,989,0.32659251769464104
NY,all-surveys,36 - 45,319,989,0.3225480283114257
IL,all-surveys,36 - 45,292,1021,0.2859941234084231
