state,answer_set,facility_name,trump_dictator_first_day_opinion,count,n_respondents,pct_of_respondents
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Probably good,157,461,0.3405639913232104
IL,all-surveys,"Cook County, IL",Probably good,138,384,0.359375
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Definitely bad,110,461,0.2386117136659436
CA,all-surveys,"Santa Clara County, CA",Definitely bad,110,330,0.3333333333333333
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Definitely good,100,461,0.21691973969631237
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Probably bad,93,461,0.2017353579175705
IL,all-surveys,"Cook County, IL",Definitely good,91,384,0.23697916666666666
IL,all-surveys,"Cook County, IL",Definitely bad,77,384,0.20052083333333334
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Probably good,76,223,0.34080717488789236
CA,all-surveys,"Santa Clara County, CA",Probably good,73,330,0.22121212121212122
CA,all-surveys,"Santa Clara County, CA",Probably bad,71,330,0.21515151515151515
CA,all-surveys,"Santa Clara County, CA",Definitely good,70,330,0.21212121212121213
IL,all-surveys,"Cook County, IL",Probably bad,69,384,0.1796875
OH,all-surveys,"Cuyahoga County Justice Center, OH",Probably good,59,141,0.41843971631205673
TX,all-surveys,"Travis County Jail, TX",Probably good,55,154,0.35714285714285715
CA,all-surveys,"Fresno County, CA",Definitely bad,52,151,0.3443708609271523
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Definitely bad,49,223,0.21973094170403587
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Probably bad,48,223,0.21524663677130046
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Definitely good,46,223,0.2062780269058296
AZ,all-surveys,"Pima County Jail, AZ",Probably good,44,140,0.3142857142857143
CA,all-surveys,"Stanislaus County, CA",Probably good,40,133,0.3007518796992481
CA,all-surveys,"Fresno County, CA",Probably good,37,151,0.24503311258278146
AZ,all-surveys,"Pima County Jail, AZ",Definitely bad,36,140,0.2571428571428571
MO,all-surveys,"St. Louis County Jail, MO",Probably good,35,65,0.5384615384615384
OH,all-surveys,"Cuyahoga County Justice Center, OH",Probably bad,35,141,0.24822695035460993
TX,all-surveys,"Travis County Jail, TX",Definitely good,35,154,0.22727272727272727
AZ,all-surveys,"Pima County Jail, AZ",Probably bad,34,140,0.24285714285714285
CA,all-surveys,"Fresno County, CA",Definitely good,32,151,0.2119205298013245
CA,all-surveys,"Stanislaus County, CA",Definitely good,32,133,0.24060150375939848
TX,all-surveys,"Travis County Jail, TX",Definitely bad,32,154,0.2077922077922078
NY,all-surveys,"Albany County Correctional Facility, NY",Probably good,31,70,0.44285714285714284
IL,all-surveys,"Winnebago County, IL",Probably good,30,92,0.32608695652173914
CA,all-surveys,"Stanislaus County, CA",Definitely bad,28,133,0.21052631578947367
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Probably good,28,69,0.4057971014492754
NC,all-surveys,"Cumberland County, NC",Probably good,28,67,0.417910447761194
PA,all-surveys,"Dauphin County Jail, PA",Probably good,28,80,0.35
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Probably good,28,77,0.36363636363636365
CA,all-surveys,"Orange County, CA - Theo Lacy",Definitely bad,27,88,0.3068181818181818
CO,all-surveys,"Denver County Jail, CO",Probably good,27,88,0.3068181818181818
WA,all-surveys,"Yakima County, WA",Probably good,27,79,0.34177215189873417
OH,all-surveys,"Mahoning County Justice Center, OH",Probably good,26,74,0.35135135135135137
TX,all-surveys,"Travis County Jail, TX",Probably bad,26,154,0.16883116883116883
CA,all-surveys,"San Joaquin County Jail, CA",Probably good,25,71,0.352112676056338
CA,all-surveys,"Stanislaus County, CA",Probably bad,25,133,0.18796992481203006
PA,all-surveys,"Lackawana County, PA",Probably good,25,80,0.3125
TX,all-surveys,"MTC: Giles Dalby, TX",Probably good,25,87,0.28735632183908044
WV,all-surveys,WV DCR North Central Regional Jail,Probably good,25,69,0.36231884057971014
CA,all-surveys,"Orange County, CA - Theo Lacy",Probably good,24,88,0.2727272727272727
IL,all-surveys,"Winnebago County, IL",Probably bad,24,92,0.2608695652173913
AZ,all-surveys,"Pima County Jail, AZ",Definitely good,23,140,0.16428571428571428
CA,all-surveys,"Orange County, CA - Theo Lacy",Probably bad,23,88,0.26136363636363635
CO,all-surveys,"Denver County Jail, CO",Definitely bad,23,88,0.26136363636363635
IN,all-surveys,"Hamilton County Main Jail, IN",Probably good,23,56,0.4107142857142857
NY,all-surveys,"Monroe County Sheriff's Department, NY",Probably good,23,58,0.39655172413793105
OH,all-surveys,"Cuyahoga County Justice Center, OH",Definitely good,23,141,0.16312056737588654
WA,all-surveys,"Spokane County Jail, WA",Definitely good,23,67,0.34328358208955223
CA,all-surveys,"Fresno County, CA",Probably bad,22,151,0.1456953642384106
CA,all-surveys,"Orange County, CA - Central Jail Complex",Probably good,22,64,0.34375
CO,all-surveys,"Denver County Jail, CO",Definitely good,22,88,0.25
CO,all-surveys,"Mesa County, CO",Definitely good,22,55,0.4
CO,all-surveys,"Weld County, CO",Definitely bad,22,85,0.25882352941176473
OH,all-surveys,"Cuyahoga County Justice Center, OH",Definitely bad,22,141,0.15602836879432624
CO,all-surveys,"Weld County, CO",Probably good,21,85,0.24705882352941178
PA,all-surveys,"Lackawana County, PA",Definitely bad,21,80,0.2625
PA,all-surveys,"Westmoreland County, PA",Probably good,21,55,0.38181818181818183
